activity_id,opportunity_id,sales_agent,activity_type,activity_date,duration_minutes,outcome
ACT-000001,1C1I7A6R,Moses Frase,call,2016-12-15,19,completed
ACT-000002,1C1I7A6R,Moses Frase,call,2016-11-26,34,completed
ACT-000003,1C1I7A6R,Moses Frase,email,2017-01-06,8,completed
ACT-000004,1C1I7A6R,Moses Frase,meeting,2017-01-01,83,completed
ACT-000005,1C1I7A6R,Moses Frase,call,2017-02-22,27,completed
ACT-000006,1C1I7A6R,Moses Frase,email,2016-10-27,5,completed
ACT-000007,1C1I7A6R,Moses Frase,email,2016-12-19,7,completed
ACT-000008,1C1I7A6R,Moses Frase,email,2017-01-05,12,completed
ACT-000009,1C1I7A6R,Moses Frase,demo,2017-02-03,65,completed
ACT-000010,Z063OYW0,Darcel Schlecht,email,2016-12-10,7,completed
ACT-000011,Z063OYW0,Darcel Schlecht,email,2017-02-10,12,no_answer
ACT-000012,Z063OYW0,Darcel Schlecht,email,2016-11-11,4,completed
ACT-000013,Z063OYW0,Darcel Schlecht,email,2016-12-02,8,completed
ACT-000014,Z063OYW0,Darcel Schlecht,call,2016-11-18,22,completed
ACT-000015,Z063OYW0,Darcel Schlecht,email,2017-01-15,6,completed
ACT-000016,EC4QE1BX,Darcel Schlecht,email,2017-02-22,7,completed
ACT-000017,EC4QE1BX,Darcel Schlecht,email,2017-01-07,9,completed
ACT-000018,EC4QE1BX,Darcel Schlecht,email,2016-10-30,13,cancelled
ACT-000019,EC4QE1BX,Darcel Schlecht,email,2017-01-26,4,no_answer
ACT-000020,EC4QE1BX,Darcel Schlecht,demo,2017-01-02,41,no_answer
ACT-000021,EC4QE1BX,Darcel Schlecht,email,2016-12-27,12,completed
ACT-000022,EC4QE1BX,Darcel Schlecht,call,2016-11-03,6,completed
ACT-000023,EC4QE1BX,Darcel Schlecht,call,2016-12-26,13,completed
ACT-000024,EC4QE1BX,Darcel Schlecht,email,2017-01-26,6,completed
ACT-000025,MV1LWRNH,Moses Frase,call,2016-10-25,33,no_answer
ACT-000026,MV1LWRNH,Moses Frase,email,2016-12-23,6,completed
ACT-000027,MV1LWRNH,Moses Frase,email,2017-03-05,11,completed
ACT-000028,MV1LWRNH,Moses Frase,meeting,2016-11-07,37,completed
ACT-000029,MV1LWRNH,Moses Frase,demo,2016-12-16,99,completed
ACT-000030,MV1LWRNH,Moses Frase,email,2016-12-05,14,no_answer
ACT-000031,PE84CX4O,Zane Levy,call,2016-11-20,26,rescheduled
ACT-000032,PE84CX4O,Zane Levy,email,2017-01-29,14,no_answer
ACT-000033,PE84CX4O,Zane Levy,call,2016-10-29,16,completed
ACT-000034,PE84CX4O,Zane Levy,call,2016-12-06,15,completed
ACT-000035,PE84CX4O,Zane Levy,email,2016-12-10,12,completed
ACT-000036,PE84CX4O,Zane Levy,call,2016-12-23,40,no_answer
ACT-000037,PE84CX4O,Zane Levy,meeting,2017-02-07,65,rescheduled
ACT-000038,PE84CX4O,Zane Levy,demo,2017-01-18,119,completed
ACT-000039,ZNBS69V1,Anna Snelling,email,2016-12-24,7,completed
ACT-000040,ZNBS69V1,Anna Snelling,email,2016-11-06,10,rescheduled
ACT-000041,ZNBS69V1,Anna Snelling,email,2016-11-04,3,rescheduled
ACT-000042,ZNBS69V1,Anna Snelling,email,2016-12-21,8,completed
ACT-000043,ZNBS69V1,Anna Snelling,email,2016-11-25,2,completed
ACT-000044,ZNBS69V1,Anna Snelling,email,2016-10-29,8,completed
ACT-000045,ZNBS69V1,Anna Snelling,meeting,2016-11-27,15,completed
ACT-000046,ZNBS69V1,Anna Snelling,email,2017-02-23,3,completed
ACT-000047,ZNBS69V1,Anna Snelling,email,2016-11-26,4,completed
ACT-000048,ZNBS69V1,Anna Snelling,email,2017-02-02,13,completed
ACT-000049,9ME3374G,Vicki Laflamme,email,2017-01-04,12,completed
ACT-000050,9ME3374G,Vicki Laflamme,email,2016-11-06,9,cancelled
ACT-000051,9ME3374G,Vicki Laflamme,call,2017-02-22,18,completed
ACT-000052,9ME3374G,Vicki Laflamme,email,2016-12-01,4,rescheduled
ACT-000053,9ME3374G,Vicki Laflamme,email,2017-01-06,11,no_answer
ACT-000054,9ME3374G,Vicki Laflamme,email,2016-12-05,10,rescheduled
ACT-000055,9ME3374G,Vicki Laflamme,meeting,2017-01-23,44,completed
ACT-000056,9ME3374G,Vicki Laflamme,email,2017-02-02,4,completed
ACT-000057,9ME3374G,Vicki Laflamme,email,2016-11-23,7,completed
ACT-000058,9ME3374G,Vicki Laflamme,email,2016-12-05,3,completed
ACT-000059,7GN8Q4LL,Markita Hansen,call,2016-11-25,27,no_answer
ACT-000060,7GN8Q4LL,Markita Hansen,call,2017-02-06,11,completed
ACT-000061,7GN8Q4LL,Markita Hansen,meeting,2017-01-31,65,no_answer
ACT-000062,7GN8Q4LL,Markita Hansen,email,2016-11-29,9,completed
ACT-000063,7GN8Q4LL,Markita Hansen,call,2016-12-24,26,completed
ACT-000064,7GN8Q4LL,Markita Hansen,email,2017-02-19,4,completed
ACT-000065,7GN8Q4LL,Markita Hansen,email,2017-01-12,2,completed
