ticket_id,account,created_date,resolved_date,category,priority,status,resolution_hours,satisfaction_rating,agent_name
TKT-000001,Acme Corporation,2017-12-23,2017-12-27,account_management,medium,resolved,117.0,3.0,Allison Hill
TKT-000002,Acme Corporation,2017-01-27,2017-01-28,technical,medium,resolved,47.0,4.0,Noah Rhodes
TKT-000003,Acme Corporation,2017-05-16,2017-05-17,billing,medium,resolved,45.0,5.0,Angie Henderson
TKT-000004,Acme Corporation,2017-08-30,2017-08-30,onboarding,high,resolved,12.0,4.0,Daniel Wagner
TKT-000005,Acme Corporation,2017-11-03,,billing,critical,waiting_on_customer,,,Cristian Santos
TKT-000006,Acme Corporation,2017-09-12,2017-09-13,technical,medium,resolved,28.0,4.0,Connie Lawrence
TKT-000007,Acme Corporation,2017-05-06,2017-05-09,bug_report,medium,resolved,79.0,,Abigail Shaffer
TKT-000008,Acme Corporation,2017-11-14,2017-11-16,billing,low,resolved,69.0,4.0,Gina Moore
TKT-000009,Acme Corporation,2017-03-27,2017-03-30,technical,medium,resolved,91.0,3.0,Gabrielle Davis
TKT-000010,Acme Corporation,2017-11-20,2017-11-21,technical,high,resolved,43.0,4.0,Ryan Munoz
TKT-000011,Acme Corporation,2017-11-06,2017-11-06,feature_request,medium,resolved,12.0,,Monica Herrera
TKT-000012,Acme Corporation,2017-06-26,,billing,critical,waiting_on_customer,,,Jamie Arnold
TKT-000013,Acme Corporation,2017-10-21,,billing,low,escalated,,,Lisa Hensley
TKT-000014,Acme Corporation,2017-06-04,2017-06-05,feature_request,high,resolved,40.0,4.0,Michele Williams
TKT-000015,Acme Corporation,2017-04-22,,technical,critical,open,,,Dylan Miller
TKT-000016,Acme Corporation,2017-09-08,,account_management,low,open,,,Brian Ramirez
TKT-000017,Acme Corporation,2017-01-30,2017-01-31,technical,medium,resolved,30.0,3.0,Holly Wood
TKT-000018,Acme Corporation,2017-09-21,,technical,medium,escalated,,,Derek Zuniga
TKT-000019,Acme Corporation,2017-03-09,2017-03-13,bug_report,low,resolved,108.0,2.0,Lisa Jackson
TKT-000020,Acme Corporation,2017-04-24,2017-04-24,technical,medium,resolved,12.0,,Carla Gray
TKT-000021,Acme Corporation,2017-01-24,,feature_request,medium,waiting_on_customer,,,Margaret Hawkins DDS
TKT-000022,Acme Corporation,2017-03-31,2017-03-31,account_management,critical,resolved,7.0,,Patty Perez
TKT-000023,Acme Corporation,2017-07-15,2017-07-17,technical,low,resolved,67.0,,Ethan Adams
TKT-000024,Betasoloin,2017-12-28,,bug_report,medium,waiting_on_customer,,,Tommy Walter
TKT-000025,Betasoloin,2017-10-31,2017-11-03,billing,medium,resolved,75.0,,Matthew Foster
TKT-000026,Betasoloin,2017-05-06,2017-05-07,technical,high,resolved,24.0,4.0,Judy Baker
TKT-000027,Betasoloin,2017-06-18,,technical,high,waiting_on_customer,,,Justin Baker
TKT-000028,Betasoloin,2017-09-20,2017-09-25,billing,low,resolved,142.0,2.0,Stephanie Ross
TKT-000029,Betasoloin,2017-08-02,2017-08-03,technical,medium,resolved,24.0,,Zachary Hicks
TKT-000030,Betasoloin,2017-09-26,2017-10-05,feature_request,low,resolved,230.0,2.0,Anthony Rodriguez
TKT-000031,Betasoloin,2017-08-08,2017-08-09,bug_report,high,resolved,46.0,,Rebecca Henderson
TKT-000032,Betasoloin,2017-04-29,2017-04-29,technical,critical,resolved,4.0,4.0,James Ferrell
TKT-000033,Betasoloin,2017-06-24,2017-06-25,technical,high,resolved,33.0,,Tricia Valencia
TKT-000034,Betasoloin,2017-02-21,2017-02-25,account_management,low,resolved,106.0,2.0,Nathan Maldonado
TKT-000035,Betasoloin,2017-05-05,2017-05-06,feature_request,high,resolved,39.0,4.0,Debra Davidson
TKT-000036,Betasoloin,2017-10-01,,bug_report,medium,waiting_on_customer,,,Jeffrey Chavez
TKT-000037,Betasoloin,2017-07-27,2017-07-31,technical,low,resolved,106.0,3.0,Sherri Baker
TKT-000038,Betasoloin,2017-12-26,,billing,low,open,,,Cassandra Gaines
TKT-000039,Betasoloin,2017-01-01,2017-01-01,technical,critical,resolved,4.0,5.0,Elizabeth Fowler
TKT-000040,Betasoloin,2017-12-29,2017-12-29,billing,medium,resolved,14.0,,Brittany Farmer
TKT-000041,Betasoloin,2017-10-26,,billing,medium,open,,,Paula Moreno
TKT-000042,Betasoloin,2017-03-30,2017-04-04,technical,low,resolved,127.0,3.0,Fred Smith
TKT-000043,Betasoloin,2017-09-24,2017-09-26,technical,medium,resolved,63.0,,Sherry Decker
TKT-000044,Betasoloin,2017-09-19,2017-09-21,account_management,medium,resolved,60.0,,Anthony Humphrey
TKT-000045,Betasoloin,2017-02-16,2017-02-16,onboarding,medium,resolved,19.0,,Angelica Tucker
